repeat,fold,training_fraction,training_records,low_training_records,medium_training_records,high_training_records,train_balanced_accuracy,validation_balanced_accuracy,train_macro_f1,validation_macro_f1
4,0,0.7,33,3,20,10,1.0,0.6666666666666666,1.0,0.6078431372549019
4,0,0.85,40,3,25,12,1.0,0.5,1.0,0.48148148148148145
4,0,1.0,48,4,30,14,1.0,0.6666666666666666,1.0,0.6078431372549019
4,1,0.4,19,2,11,6,1.0,0.7777777777777777,1.0,0.7962962962962963
4,1,0.55,26,3,16,7,1.0,0.7777777777777777,1.0,0.7962962962962963
4,1,0.7,33,3,20,10,1.0,0.4444444444444444,1.0,0.4473684210526316
4,1,0.85,40,4,24,12,1.0,0.4444444444444444,1.0,0.4473684210526316
4,1,1.0,48,5,29,14,0.9761904761904763,0.7777777777777777,0.98200460347353,0.7962962962962963
4,2,0.4,19,2,11,6,1.0,0.9166666666666666,1.0,0.8690476190476191
4,2,0.55,26,3,16,7,1.0,0.9166666666666666,1.0,0.8690476190476191
4,2,0.7,33,3,20,10,0.9666666666666667,1.0,0.9743260590500641,1.0
4,2,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
4,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
4,3,0.4,19,2,12,5,1.0,0.9166666666666666,1.0,0.9301587301587301
4,3,0.55,26,3,16,7,1.0,1.0,1.0,1.0
4,3,0.7,33,3,21,9,1.0,0.9166666666666666,1.0,0.9301587301587301
4,3,0.85,40,4,25,11,1.0,0.9047619047619048,1.0,0.8777777777777778
4,3,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
4,4,0.4,19,2,12,5,1.0,0.8690476190476191,1.0,0.8690476190476191
4,4,0.55,26,3,16,7,1.0,0.9166666666666666,1.0,0.9301587301587301
4,4,0.7,33,3,21,9,1.0,0.9523809523809524,1.0,0.9373219373219372
4,4,0.85,40,4,25,11,0.9696969696969697,1.0,0.9775910364145658,1.0
4,4,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
5,0,0.4,19,2,12,5,1.0,0.5555555555555555,1.0,0.5411764705882353
5,0,0.55,26,2,16,8,1.0,0.6666666666666666,1.0,0.625
5,0,0.7,33,3,20,10,1.0,0.5555555555555555,1.0,0.5411764705882353
5,0,0.85,40,3,25,12,1.0,0.6666666666666666,1.0,0.625
5,0,1.0,48,4,30,14,0.9761904761904763,0.6666666666666666,0.9821898401133374,0.625
5,1,0.4,19,2,11,6,1.0,0.9166666666666666,1.0,0.7936507936507936
5,1,0.55,26,3,16,7,1.0,0.7638888888888888,1.0,0.7380952380952381
5,1,0.7,33,3,20,10,1.0,1.0,1.0,1.0
5,1,0.85,40,4,24,12,0.9722222222222222,0.9583333333333334,0.9787045252883763,0.9301587301587301
5,1,1.0,48,5,29,14,0.9761904761904763,0.9583333333333334,0.98200460347353,0.9301587301587301
5,2,0.4,19,2,11,6,1.0,0.8888888888888888,1.0,0.9137254901960784
5,2,0.55,26,3,16,7,1.0,0.8888888888888888,1.0,0.9137254901960784
5,2,0.7,33,3,20,10,0.9666666666666667,1.0,0.9743260590500641,1.0
5,2,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
5,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
5,3,0.4,19,2,12,5,1.0,0.8333333333333334,1.0,0.8472222222222222
5,3,0.55,26,3,16,7,1.0,0.75,1.0,0.7411764705882353
5,3,0.7,33,3,21,9,1.0,0.9166666666666666,1.0,0.9301587301587301
5,3,0.85,40,4,25,11,1.0,0.8333333333333334,1.0,0.8472222222222222
5,3,1.0,48,5,30,13,1.0,0.9166666666666666,1.0,0.9301587301587301
5,4,0.4,19,2,12,5,1.0,0.7857142857142857,1.0,0.7904761904761904
5,4,0.55,26,3,16,7,1.0,1.0,1.0,1.0
5,4,0.7,33,3,21,9,1.0,1.0,1.0,1.0
5,4,0.85,40,4,25,11,1.0,0.9166666666666666,1.0,0.9301587301587301
5,4,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
6,0,0.4,19,2,12,5,1.0,1.0,1.0,1.0
6,0,0.55,26,2,16,8,1.0,0.8888888888888888,1.0,0.9111111111111111
6,0,0.7,33,3,20,10,0.9666666666666667,1.0,0.9743260590500641,1.0
6,0,0.85,40,3,25,12,0.9722222222222222,1.0,0.9789712986643933,1.0
6,0,1.0,48,4,30,14,0.9761904761904763,1.0,0.9821898401133374,1.0
6,1,0.4,19,2,11,6,1.0,0.6666666666666666,1.0,0.6470588235294118
6,1,0.55,26,3,16,7,1.0,1.0,1.0,1.0
6,1,0.7,33,3,20,10,1.0,0.5833333333333334,1.0,0.5166666666666667
6,1,0.85,40,4,24,12,1.0,0.9583333333333334,1.0,0.9301587301587301
6,1,1.0,48,5,29,14,1.0,1.0,1.0,1.0
6,2,0.4,19,2,11,6,1.0,0.9166666666666666,1.0,0.8690476190476191
6,2,0.55,26,3,16,7,1.0,0.9583333333333334,1.0,0.9301587301587301
6,2,0.7,33,3,20,10,1.0,0.8472222222222222,1.0,0.8472222222222222
6,2,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
6,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
6,3,0.4,19,2,12,5,1.0,0.8333333333333334,1.0,0.8472222222222222
6,3,0.55,26,3,16,7,1.0,0.9166666666666666,1.0,0.9301587301587301
6,3,0.7,33,3,21,9,1.0,0.9166666666666666,1.0,0.9301587301587301
6,3,0.85,40,4,25,11,1.0,0.4166666666666667,1.0,0.3925925925925926
6,3,1.0,48,5,30,13,0.9743589743589745,0.8333333333333334,0.9812021857923497,0.8472222222222222
6,4,0.4,19,2,12,5,1.0,1.0,1.0,1.0
6,4,0.55,26,3,16,7,1.0,0.9166666666666666,1.0,0.9301587301587301
