repeat,fold,weighted,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc,sensitivity_set
9,3,False,0.9166666666666666,0.6666666666666666,0.625,0.6666666666666666,0.6444444444444445,0.8492077756084467,combined_without_exercise
9,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,combined_without_exercise
0,0,False,0.8333333333333334,0.7222222222222222,0.9259259259259259,0.7222222222222222,0.7805555555555556,0.7105181184430335,combined_without_lifestyle
0,1,False,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387,combined_without_lifestyle
0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
0,3,False,0.9166666666666666,0.6666666666666666,0.625,0.6666666666666666,0.6444444444444445,0.8492077756084467,combined_without_lifestyle
0,4,False,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,combined_without_lifestyle
1,0,False,0.9166666666666666,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8666666666666666,0.8579409756912387,combined_without_lifestyle
1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
1,2,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
1,3,False,0.8333333333333334,0.8690476190476191,0.7857142857142857,0.8690476190476191,0.7936507936507936,0.7127227606745064,combined_without_lifestyle
1,4,False,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816,combined_without_lifestyle
2,0,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
2,1,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
2,2,False,0.8333333333333334,0.5555555555555555,0.6,0.5555555555555555,0.562962962962963,0.6425396041156863,combined_without_lifestyle
2,3,False,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816,combined_without_lifestyle
2,4,False,0.8333333333333334,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6923076923076923,combined_without_lifestyle
3,0,False,0.75,0.6190476190476191,0.5833333333333334,0.6190476190476191,0.6,0.541162769282166,combined_without_lifestyle
3,1,False,0.8333333333333334,0.5555555555555555,0.6,0.5555555555555555,0.562962962962963,0.6425396041156863,combined_without_lifestyle
3,2,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
3,3,False,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,combined_without_lifestyle
3,4,False,0.75,0.5,0.5666666666666667,0.5,0.49673202614379086,0.5370861555295747,combined_without_lifestyle
4,0,False,0.6666666666666666,0.5,0.5454545454545454,0.5,0.48148148148148145,0.40024936794580945,combined_without_lifestyle
4,1,False,0.75,0.4444444444444444,0.5757575757575758,0.4444444444444444,0.4473684210526316,0.4332001127219817,combined_without_lifestyle
4,2,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
4,3,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
4,4,False,0.8333333333333334,0.9047619047619048,0.7777777777777777,0.9047619047619048,0.7777777777777778,0.7707840291806354,combined_without_lifestyle
5,0,False,0.8333333333333334,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625,0.7213357077339458,combined_without_lifestyle
5,1,False,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387,combined_without_lifestyle
5,2,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
5,3,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,combined_without_lifestyle
5,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,combined_without_lifestyle
6,0,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
6,1,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
6,2,False,0.75,0.875,0.7000000000000001,0.875,0.7286324786324786,0.6425396041156863,combined_without_lifestyle
6,3,False,0.75,0.5,0.5666666666666667,0.5,0.49673202614379086,0.5370861555295747,combined_without_lifestyle
6,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,combined_without_lifestyle
7,0,False,0.8333333333333334,0.7222222222222222,0.9259259259259259,0.7222222222222222,0.7805555555555556,0.7105181184430335,combined_without_lifestyle
7,1,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
7,2,False,0.8333333333333334,0.9166666666666666,0.7777777777777777,0.9166666666666666,0.7857142857142857,0.7559289460184545,combined_without_lifestyle
7,3,False,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631,combined_without_lifestyle
7,4,False,0.9166666666666666,0.6666666666666666,0.625,0.6666666666666666,0.6444444444444445,0.8492077756084467,combined_without_lifestyle
8,0,False,0.75,0.6746031746031745,0.75,0.6746031746031745,0.7000000000000001,0.5466081666101212,combined_without_lifestyle
8,1,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
8,2,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
8,3,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
8,4,False,1.0,1.0,1.0,1.0,1.0,1.0,combined_without_lifestyle
9,0,False,0.6666666666666666,0.8095238095238094,0.8095238095238096,0.8095238095238094,0.7333333333333334,0.6097560975609756,combined_without_lifestyle
9,1,False,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387,combined_without_lifestyle
9,2,False,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531,combined_without_lifestyle
9,3,False,0.75,0.5,0.5666666666666667,0.5,0.49673202614379086,0.5370861555295747,combined_without_lifestyle
9,4,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,combined_without_lifestyle
0,0,False,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333,imbalance_weighting
0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,3,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
0,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
1,0,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
1,1,False,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065,imbalance_weighting
1,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
1,3,False,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076,imbalance_weighting
1,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,0,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,1,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,2,False,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065,imbalance_weighting
2,3,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
2,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,0,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,1,False,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065,imbalance_weighting
3,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,3,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
3,4,False,0.75,0.75,0.9,0.75,0.7411764705882353,0.5765566601970551,imbalance_weighting
4,0,False,0.75,0.6666666666666666,0.5666666666666667,0.6666666666666666,0.6078431372549019,0.5936657514041415,imbalance_weighting
4,1,False,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858,imbalance_weighting
4,2,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
4,3,False,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129,imbalance_weighting
4,4,False,1.0,1.0,1.0,1.0,1.0,1.0,imbalance_weighting
